Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Type,Stock,Market,Strike,Date,Temp1,Maturity,Days,Diff,Moneyness
17 Jun 72.00 (SSO1716R72),1.05,0,0.65,0.95,0,221,Put,83.9,0.8,72,4/21/17,SSO1716R72,6/16/17,56,0.153424658,0.858164482
17 Jun 73.00 (SSO1716R73),1.44,0,0.03,2.72,0,50,Put,83.9,1.375,73,4/21/17,SSO1716R73,6/16/17,56,0.153424658,0.870083433
17 Jun 74.00 (SSO1716R74),0.92,0,0.79,1.15,0,45,Put,83.9,0.97,74,4/21/17,SSO1716R74,6/16/17,56,0.153424658,0.882002384
17 Jun 75.00 (SSO1716R75),1.05,0,0.92,1.29,0,220,Put,83.9,1.105,75,4/21/17,SSO1716R75,6/16/17,56,0.153424658,0.893921335
17 Jun 76.00 (SSO1716R76),1.56,0,1.02,1.84,0,120,Put,83.9,1.43,76,4/21/17,SSO1716R76,6/16/17,56,0.153424658,0.905840286
17 Jun 77.00 (SSO1716R77),1.2,-0.45,1.18,1.71,5,94,Put,83.9,1.445,77,4/21/17,SSO1716R77,6/16/17,56,0.153424658,0.917759237
17 Jun 78.00 (SSO1716R78),1.86,0,1.28,1.73,0,92,Put,83.9,1.505,78,4/21/17,SSO1716R78,6/16/17,56,0.153424658,0.929678188
17 Jun 79.00 (SSO1716R79),1.99,0,1.39,1.9,0,64,Put,83.9,1.645,79,4/21/17,SSO1716R79,6/16/17,56,0.153424658,0.941597139
17 Jun 80.00 (SSO1716R80),1.9,0.12,1.7,3.05,15,520,Put,83.9,2.375,80,4/21/17,SSO1716R80,6/16/17,56,0.153424658,0.953516091
17 Jun 81.00 (SSO1716R81),1.97,0,1.88,2.46,0,97,Put,83.9,2.17,81,4/21/17,SSO1716R81,6/16/17,56,0.153424658,0.965435042
17 Jun 82.00 (SSO1716R82),2.62,0,2.14,2.82,0,70,Put,83.9,2.48,82,4/21/17,SSO1716R82,6/16/17,56,0.153424658,0.977353993
17 Jun 83.00 (SSO1716R83),3.1,0,2.49,3.15,0,31,Put,83.9,2.82,83,4/21/17,SSO1716R83,6/16/17,56,0.153424658,0.989272944
17 Jun 84.00 (SSO1716R84),2.81,0,1.47,4.4,0,183,Put,83.9,2.935,84,4/21/17,SSO1716R84,6/16/17,56,0.153424658,1.001191895
17 Jun 85.00 (SSO1716R85),3.18,0,2.85,4.05,0,170,Put,83.9,3.45,85,4/21/17,SSO1716R85,6/16/17,56,0.153424658,1.013110846
17 Jun 86.00 (SSO1716R86),3.65,0,2.35,5.25,0,26,Put,83.9,3.8,86,4/21/17,SSO1716R86,6/16/17,56,0.153424658,1.025029797
17 Jun 87.00 (SSO1716R87),5.07,0,4.1,5.15,0,115,Put,83.9,4.625,87,4/21/17,SSO1716R87,6/16/17,56,0.153424658,1.036948749
17 Jun 88.00 (SSO1716R88),5.7,0,4.6,6.7,0,118,Put,83.9,5.65,88,4/21/17,SSO1716R88,6/16/17,56,0.153424658,1.0488677
17 Jun 89.00 (SSO1716R89),13.05,0,5.55,6.3,0,1,Put,83.9,5.925,89,4/21/17,SSO1716R89,6/16/17,56,0.153424658,1.060786651
17 Jun 90.00 (SSO1716R90),6.7,0,6.05,7.55,0,71,Put,83.9,6.8,90,4/21/17,SSO1716R90,6/16/17,56,0.153424658,1.072705602
17 Jun 95.00 (SSO1716R95),10.45,0,8.55,12.45,0,146,Put,83.9,10.5,95,4/21/17,SSO1716R95,6/16/17,56,0.153424658,1.132300358
17 Sep 40.00 (SSO1715U40),0.26,0,0,0.46,0,1,Put,83.9,0.23,40,4/21/17,SSO1715U40,9/15/17,147,0.402739726,0.476758045
17 Sep 45.00 (SSO1715U45),0.35,0,0.03,0.85,0,40,Put,83.9,0.44,45,4/21/17,SSO1715U45,9/15/17,147,0.402739726,0.536352801
17 Sep 50.00 (SSO1715U50),0.7,0,0.11,1.03,0,8,Put,83.9,0.57,50,4/21/17,SSO1715U50,9/15/17,147,0.402739726,0.595947557
17 Sep 55.00 (SSO1715U55),0.66,0,0.46,1.15,0,12,Put,83.9,0.805,55,4/21/17,SSO1715U55,9/15/17,147,0.402739726,0.655542312
17 Sep 58.00 (SSO1715U58),0,0,0.37,1.08,0,0,Put,83.9,0.725,58,4/21/17,SSO1715U58,9/15/17,147,0.402739726,0.691299166
17 Sep 59.00 (SSO1715U59),1.37,0,0.63,1.39,0,15,Put,83.9,1.01,59,4/21/17,SSO1715U59,9/15/17,147,0.402739726,0.703218117
17 Sep 60.00 (SSO1715U60),1,0,0.43,1.6,0,82,Put,83.9,1.015,60,4/21/17,SSO1715U60,9/15/17,147,0.402739726,0.715137068
17 Sep 61.00 (SSO1715U61),0,0,0.73,1.48,0,0,Put,83.9,1.105,61,4/21/17,SSO1715U61,9/15/17,147,0.402739726,0.727056019
17 Sep 62.00 (SSO1715U62),0,0,0.67,1.55,0,0,Put,83.9,1.11,62,4/21/17,SSO1715U62,9/15/17,147,0.402739726,0.73897497
17 Sep 63.00 (SSO1715U63),0,0,0.58,1.9,0,0,Put,83.9,1.24,63,4/21/17,SSO1715U63,9/15/17,147,0.402739726,0.750893921
17 Sep 64.00 (SSO1715U64),1.45,0,0.9,1.66,0,26,Put,83.9,1.28,64,4/21/17,SSO1715U64,9/15/17,147,0.402739726,0.762812872
17 Sep 65.00 (SSO1715U65),1.42,0,0.96,1.76,0,15,Put,83.9,1.36,65,4/21/17,SSO1715U65,9/15/17,147,0.402739726,0.774731824
17 Sep 66.00 (SSO1715U66),0,0,0.78,1.92,0,0,Put,83.9,1.35,66,4/21/17,SSO1715U66,9/15/17,147,0.402739726,0.786650775
17 Sep 67.00 (SSO1715U67),0,0,0.86,2.02,0,0,Put,83.9,1.44,67,4/21/17,SSO1715U67,9/15/17,147,0.402739726,0.798569726
17 Sep 68.00 (SSO1715U68),0,0,0.95,2.14,0,0,Put,83.9,1.545,68,4/21/17,SSO1715U68,9/15/17,147,0.402739726,0.810488677
17 Sep 69.00 (SSO1715U69),2.27,0,1.03,2.22,0,21,Put,83.9,1.625,69,4/21/17,SSO1715U69,9/15/17,147,0.402739726,0.822407628
17 Sep 70.00 (SSO1715U70),1.87,0,1.4,2.2,0,24,Put,83.9,1.8,70,4/21/17,SSO1715U70,9/15/17,147,0.402739726,0.834326579
17 Sep 71.00 (SSO1715U71),0,0,0.2,2.55,0,0,Put,83.9,1.375,71,4/21/17,SSO1715U71,9/15/17,147,0.402739726,0.84624553
17 Sep 72.00 (SSO1715U72),2.75,0,1.33,2.71,0,1,Put,83.9,2.02,72,4/21/17,SSO1715U72,9/15/17,147,0.402739726,0.858164482
17 Sep 73.00 (SSO1715U73),0,0,1.51,2.88,0,0,Put,83.9,2.195,73,4/21/17,SSO1715U73,9/15/17,147,0.402739726,0.870083433
17 Sep 74.00 (SSO1715U74),0,0,1.64,2.97,0,0,Put,83.9,2.305,74,4/21/17,SSO1715U74,9/15/17,147,0.402739726,0.882002384
17 Sep 75.00 (SSO1715U75),2.9,0,1.19,3.2,0,13,Put,83.9,2.195,75,4/21/17,SSO1715U75,9/15/17,147,0.402739726,0.893921335
17 Sep 76.00 (SSO1715U76),0,0,2,3.45,0,0,Put,83.9,2.725,76,4/21/17,SSO1715U76,9/15/17,147,0.402739726,0.905840286
17 Sep 77.00 (SSO1715U77),4.71,0,2.55,3.65,0,12,Put,83.9,3.1,77,4/21/17,SSO1715U77,9/15/17,147,0.402739726,0.917759237
17 Sep 78.00 (SSO1715U78),0,0,2.68,5.05,0,0,Put,83.9,3.865,78,4/21/17,SSO1715U78,9/15/17,147,0.402739726,0.929678188
17 Sep 79.00 (SSO1715U79),5.1,0,2.98,3.8,0,1,Put,83.9,3.39,79,4/21/17,SSO1715U79,9/15/17,147,0.402739726,0.941597139
17 Sep 80.00 (SSO1715U80),3.55,0,3.3,4.4,0,1,Put,83.9,3.85,80,4/21/17,SSO1715U80,9/15/17,147,0.402739726,0.953516091
17 Sep 81.00 (SSO1715U81),4.1,0,3.6,4.75,0,9,Put,83.9,4.175,81,4/21/17,SSO1715U81,9/15/17,147,0.402739726,0.965435042
17 Sep 82.00 (SSO1715U82),5.74,0,3.85,5.5,0,13,Put,83.9,4.675,82,4/21/17,SSO1715U82,9/15/17,147,0.402739726,0.977353993
17 Sep 83.00 (SSO1715U83),5.55,0,3.8,6.5,0,2,Put,83.9,5.15,83,4/21/17,SSO1715U83,9/15/17,147,0.402739726,0.989272944
17 Sep 84.00 (SSO1715U84),6.6,0,4.65,6.9,0,4,Put,83.9,5.775,84,4/21/17,SSO1715U84,9/15/17,147,0.402739726,1.001191895
17 Sep 85.00 (SSO1715U85),5.3,0,5,6.35,0,27,Put,83.9,5.675,85,4/21/17,SSO1715U85,9/15/17,147,0.402739726,1.013110846
17 Sep 86.00 (SSO1715U86),5.7,0,3.65,6.85,0,4,Put,83.9,5.25,86,4/21/17,SSO1715U86,9/15/17,147,0.402739726,1.025029797
17 Sep 87.00 (SSO1715U87),6.95,0,4.9,7.95,0,2,Put,83.9,6.425,87,4/21/17,SSO1715U87,9/15/17,147,0.402739726,1.036948749
17 Sep 88.00 (SSO1715U88),0,0,6.45,8.25,0,0,Put,83.9,7.35,88,4/21/17,SSO1715U88,9/15/17,147,0.402739726,1.0488677
17 Sep 89.00 (SSO1715U89),0,0,5.9,8.95,0,0,Put,83.9,7.425,89,4/21/17,SSO1715U89,9/15/17,147,0.402739726,1.060786651
17 Sep 90.00 (SSO1715U90),8.5,0,7.65,9,0,3,Put,83.9,8.325,90,4/21/17,SSO1715U90,9/15/17,147,0.402739726,1.072705602
17 Sep 91.00 (SSO1715U91),8.97,0,7.85,9.35,0,4,Put,83.9,8.6,91,4/21/17,SSO1715U91,9/15/17,147,0.402739726,1.084624553
17 Sep 92.00 (SSO1715U92),10.97,0,9.05,10.1,0,1,Put,83.9,9.575,92,4/21/17,SSO1715U92,9/15/17,147,0.402739726,1.096543504
17 Sep 93.00 (SSO1715U93),0,0,8.15,12,0,0,Put,83.9,10.075,93,4/21/17,SSO1715U93,9/15/17,147,0.402739726,1.108462455
17 Sep 94.00 (SSO1715U94),11.57,0,10.3,11.8,0,1,Put,83.9,11.05,94,4/21/17,SSO1715U94,9/15/17,147,0.402739726,1.120381406
17 Sep 95.00 (SSO1715U95),11.38,0,11.1,12.65,0,4,Put,83.9,11.875,95,4/21/17,SSO1715U95,9/15/17,147,0.402739726,1.132300358
17 Sep 96.00 (SSO1715U96),18.05,0,10.45,14.45,0,1,Put,83.9,12.45,96,4/21/17,SSO1715U96,9/15/17,147,0.402739726,1.144219309
17 Sep 97.00 (SSO1715U97),0,0,11.3,15.15,0,0,Put,83.9,13.225,97,4/21/17,SSO1715U97,9/15/17,147,0.402739726,1.15613826
17 Sep 98.00 (SSO1715U98),15.65,0,12,16.5,0,10,Put,83.9,14.25,98,4/21/17,SSO1715U98,9/15/17,147,0.402739726,1.168057211
17 Sep 100.00 (SSO1715U100),17.35,0,14.2,19,0,31,Put,83.9,16.6,100,4/21/17,SSO1715U100,9/15/17,147,0.402739726,1.191895113
17 Sep 105.00 (SSO1715U105),0,0,18.5,23.1,0,0,Put,83.9,20.8,105,4/21/17,SSO1715U105,9/15/17,147,0.402739726,1.251489869
18 Jan 30.00 (SSO1819M30),0.3,0,0,0.35,0,229,Put,83.9,0.175,30,4/21/17,SSO1819M30,1/19/18,273,0.747945205,0.357568534
18 Jan 35.00 (SSO1819M35),0.57,0,0.14,0.58,0,48,Put,83.9,0.36,35,4/21/17,SSO1819M35,1/19/18,273,0.747945205,0.41716329
18 Jan 40.00 (SSO1819M40),0.55,0,0.28,0.84,0,407,Put,83.9,0.56,40,4/21/17,SSO1819M40,1/19/18,273,0.747945205,0.476758045
18 Jan 45.00 (SSO1819M45),0.87,0,0.43,0.99,0,189,Put,83.9,0.71,45,4/21/17,SSO1819M45,1/19/18,273,0.747945205,0.536352801
18 Jan 50.00 (SSO1819M50),0.99,0,0.6,1.26,0,262,Put,83.9,0.93,50,4/21/17,SSO1819M50,1/19/18,273,0.747945205,0.595947557
18 Jan 52.00 (SSO1819M52),1.14,0,0.69,1.36,0,25,Put,83.9,1.025,52,4/21/17,SSO1819M52,1/19/18,273,0.747945205,0.619785459
18 Jan 53.00 (SSO1819M53),2.07,0,0.81,1.49,0,5,Put,83.9,1.15,53,4/21/17,SSO1819M53,1/19/18,273,0.747945205,0.63170441
18 Jan 54.00 (SSO1819M54),3.12,0,0.88,1.56,0,1,Put,83.9,1.22,54,4/21/17,SSO1819M54,1/19/18,273,0.747945205,0.643623361
18 Jan 55.00 (SSO1819M55),1.26,0,0.93,1.65,0,363,Put,83.9,1.29,55,4/21/17,SSO1819M55,1/19/18,273,0.747945205,0.655542312
18 Jan 56.00 (SSO1819M56),2.29,0,0.99,1.75,0,1,Put,83.9,1.37,56,4/21/17,SSO1819M56,1/19/18,273,0.747945205,0.667461263
18 Jan 57.00 (SSO1819M57),4.2,0,1.08,1.83,0,0,Put,83.9,1.455,57,4/21/17,SSO1819M57,1/19/18,273,0.747945205,0.679380215
18 Jan 58.00 (SSO1819M58),2.83,0,1.15,1.92,0,50,Put,83.9,1.535,58,4/21/17,SSO1819M58,1/19/18,273,0.747945205,0.691299166
18 Jan 59.00 (SSO1819M59),0,0,1.25,2.03,0,0,Put,83.9,1.64,59,4/21/17,SSO1819M59,1/19/18,273,0.747945205,0.703218117
18 Jan 60.00 (SSO1819M60),2,0,1.28,2.15,0,169,Put,83.9,1.715,60,4/21/17,SSO1819M60,1/19/18,273,0.747945205,0.715137068
18 Jan 61.00 (SSO1819M61),1.86,0,1.42,2.2,0,11,Put,83.9,1.81,61,4/21/17,SSO1819M61,1/19/18,273,0.747945205,0.727056019
18 Jan 62.00 (SSO1819M62),8.3,0,1.51,2.35,0,5,Put,83.9,1.93,62,4/21/17,SSO1819M62,1/19/18,273,0.747945205,0.73897497
18 Jan 63.00 (SSO1819M63),4.1,0,1.6,2.56,0,280,Put,83.9,2.08,63,4/21/17,SSO1819M63,1/19/18,273,0.747945205,0.750893921
18 Jan 64.00 (SSO1819M64),3,0,1.72,2.64,0,58,Put,83.9,2.18,64,4/21/17,SSO1819M64,1/19/18,273,0.747945205,0.762812872
18 Jan 65.00 (SSO1819M65),2.46,0,1.82,2.81,0,80,Put,83.9,2.315,65,4/21/17,SSO1819M65,1/19/18,273,0.747945205,0.774731824
18 Jan 66.00 (SSO1819M66),5.4,0,1.96,2.93,0,5,Put,83.9,2.445,66,4/21/17,SSO1819M66,1/19/18,273,0.747945205,0.786650775
18 Jan 67.00 (SSO1819M67),9.2,0,2.1,3,0,10,Put,83.9,2.55,67,4/21/17,SSO1819M67,1/19/18,273,0.747945205,0.798569726
18 Jan 68.00 (SSO1819M68),10.25,0,2.23,3.15,0,51,Put,83.9,2.69,68,4/21/17,SSO1819M68,1/19/18,273,0.747945205,0.810488677
18 Jan 69.00 (SSO1819M69),6.1,0,2.39,3.35,0,1,Put,83.9,2.87,69,4/21/17,SSO1819M69,1/19/18,273,0.747945205,0.822407628
18 Jan 70.00 (SSO1819M70),3.4,0,2.53,3.65,0,44,Put,83.9,3.09,70,4/21/17,SSO1819M70,1/19/18,273,0.747945205,0.834326579
18 Jan 71.00 (SSO1819M71),14.05,0,2.64,3.85,0,52,Put,83.9,3.245,71,4/21/17,SSO1819M71,1/19/18,273,0.747945205,0.84624553
18 Jan 72.00 (SSO1819M72),4.39,0,2.88,3.9,0,240,Put,83.9,3.39,72,4/21/17,SSO1819M72,1/19/18,273,0.747945205,0.858164482
18 Jan 73.00 (SSO1819M73),11.25,0,3.2,4.15,0,112,Put,83.9,3.675,73,4/21/17,SSO1819M73,1/19/18,273,0.747945205,0.870083433
18 Jan 74.00 (SSO1819M74),6.91,0,3.4,4.4,0,38,Put,83.9,3.9,74,4/21/17,SSO1819M74,1/19/18,273,0.747945205,0.882002384
18 Jan 75.00 (SSO1819M75),4.5,0,3.65,4.65,0,92,Put,83.9,4.15,75,4/21/17,SSO1819M75,1/19/18,273,0.747945205,0.893921335
18 Jan 76.00 (SSO1819M76),5.3,0,3.85,4.9,0,24,Put,83.9,4.375,76,4/21/17,SSO1819M76,1/19/18,273,0.747945205,0.905840286
18 Jan 80.00 (SSO1819M80),5.7,-0.48,4.9,6,25,514,Put,83.9,5.45,80,4/21/17,SSO1819M80,1/19/18,273,0.747945205,0.953516091
18 Jan 85.00 (SSO1819M85),8.1,0,6.8,8.2,0,217,Put,83.9,7.5,85,4/21/17,SSO1819M85,1/19/18,273,0.747945205,1.013110846
18 Jan 90.00 (SSO1819M90),11.1,0,9.15,11.4,0,10,Put,83.9,10.275,90,4/21/17,SSO1819M90,1/19/18,273,0.747945205,1.072705602
18 Jan 95.00 (SSO1819M95),0,0,12.4,14.45,0,0,Put,83.9,13.425,95,4/21/17,SSO1819M95,1/19/18,273,0.747945205,1.132300358
18 Jan 100.00 (SSO1819M100),20.85,0,16.4,17.95,0,2,Put,83.9,17.175,100,4/21/17,SSO1819M100,1/19/18,273,0.747945205,1.191895113
18 Jan 105.00 (SSO1819M105),0,0,20.2,22.4,0,0,Put,83.9,21.3,105,4/21/17,SSO1819M105,1/19/18,273,0.747945205,1.251489869
18 Jan 110.00 (SSO1819M110),0,0,23.5,28.5,0,0,Put,83.9,26,110,4/21/17,SSO1819M110,1/19/18,273,0.747945205,1.311084625
19 Jan 40.00 (SSO1918M40),2,0,1.11,1.95,0,18,Put,83.9,1.53,40,4/21/17,SSO1918M40,1/18/19,637,1.745205479,0.476758045
19 Jan 45.00 (SSO1918M45),1.9,-0.29,1.57,2.64,50,82,Put,83.9,2.105,45,4/21/17,SSO1918M45,1/18/19,637,1.745205479,0.536352801
19 Jan 50.00 (SSO1918M50),3.21,0,2.07,3.55,0,82,Put,83.9,2.81,50,4/21/17,SSO1918M50,1/18/19,637,1.745205479,0.595947557
19 Jan 55.00 (SSO1918M55),4.4,0,2.68,4.4,0,58,Put,83.9,3.54,55,4/21/17,SSO1918M55,1/18/19,637,1.745205479,0.655542312
19 Jan 57.00 (SSO1918M57),0,0,3,4.75,0,0,Put,83.9,3.875,57,4/21/17,SSO1918M57,1/18/19,637,1.745205479,0.679380215
19 Jan 58.00 (SSO1918M58),0,0,3.15,4.95,0,0,Put,83.9,4.05,58,4/21/17,SSO1918M58,1/18/19,637,1.745205479,0.691299166
19 Jan 59.00 (SSO1918M59),6.4,0,3.3,5.15,0,1,Put,83.9,4.225,59,4/21/17,SSO1918M59,1/18/19,637,1.745205479,0.703218117
19 Jan 60.00 (SSO1918M60),6.05,0,3.45,5.35,0,140,Put,83.9,4.4,60,4/21/17,SSO1918M60,1/18/19,637,1.745205479,0.715137068
19 Jan 61.00 (SSO1918M61),0,0,3.7,5.55,0,0,Put,83.9,4.625,61,4/21/17,SSO1918M61,1/18/19,637,1.745205479,0.727056019
19 Jan 62.00 (SSO1918M62),0,0,3.85,5.8,0,0,Put,83.9,4.825,62,4/21/17,SSO1918M62,1/18/19,637,1.745205479,0.73897497
19 Jan 63.00 (SSO1918M63),0,0,4,6,0,0,Put,83.9,5,63,4/21/17,SSO1918M63,1/18/19,637,1.745205479,0.750893921
19 Jan 64.00 (SSO1918M64),0,0,4.2,6.25,0,0,Put,83.9,5.225,64,4/21/17,SSO1918M64,1/18/19,637,1.745205479,0.762812872
19 Jan 65.00 (SSO1918M65),5.8,0,4.45,6.5,0,9,Put,83.9,5.475,65,4/21/17,SSO1918M65,1/18/19,637,1.745205479,0.774731824
19 Jan 66.00 (SSO1918M66),0,0,4.7,6.75,0,0,Put,83.9,5.725,66,4/21/17,SSO1918M66,1/18/19,637,1.745205479,0.786650775
19 Jan 67.00 (SSO1918M67),0,0,4.85,7,0,0,Put,83.9,5.925,67,4/21/17,SSO1918M67,1/18/19,637,1.745205479,0.798569726
19 Jan 68.00 (SSO1918M68),0,0,5.1,6.6,0,0,Put,83.9,5.85,68,4/21/17,SSO1918M68,1/18/19,637,1.745205479,0.810488677
19 Jan 69.00 (SSO1918M69),0,0,5.4,7.55,0,0,Put,83.9,6.475,69,4/21/17,SSO1918M69,1/18/19,637,1.745205479,0.822407628
19 Jan 70.00 (SSO1918M70),7,0,5.55,7.8,0,30,Put,83.9,6.675,70,4/21/17,SSO1918M70,1/18/19,637,1.745205479,0.834326579
19 Jan 71.00 (SSO1918M71),0,0,5.85,8.1,0,0,Put,83.9,6.975,71,4/21/17,SSO1918M71,1/18/19,637,1.745205479,0.84624553
19 Jan 72.00 (SSO1918M72),0,0,6.15,8.4,0,0,Put,83.9,7.275,72,4/21/17,SSO1918M72,1/18/19,637,1.745205479,0.858164482
19 Jan 73.00 (SSO1918M73),0,0,6.45,8.7,0,0,Put,83.9,7.575,73,4/21/17,SSO1918M73,1/18/19,637,1.745205479,0.870083433
19 Jan 74.00 (SSO1918M74),0,0,6.65,9.05,0,0,Put,83.9,7.85,74,4/21/17,SSO1918M74,1/18/19,637,1.745205479,0.882002384
19 Jan 75.00 (SSO1918M75),9.92,0,7.05,9.5,0,20,Put,83.9,8.275,75,4/21/17,SSO1918M75,1/18/19,637,1.745205479,0.893921335
19 Jan 76.00 (SSO1918M76),0,0,7.35,9.7,0,0,Put,83.9,8.525,76,4/21/17,SSO1918M76,1/18/19,637,1.745205479,0.905840286
19 Jan 77.00 (SSO1918M77),0,0,7.7,10.05,0,0,Put,83.9,8.875,77,4/21/17,SSO1918M77,1/18/19,637,1.745205479,0.917759237
19 Jan 78.00 (SSO1918M78),13.36,0,8,10.4,0,1,Put,83.9,9.2,78,4/21/17,SSO1918M78,1/18/19,637,1.745205479,0.929678188
19 Jan 79.00 (SSO1918M79),0,0,8.25,10.75,0,0,Put,83.9,9.5,79,4/21/17,SSO1918M79,1/18/19,637,1.745205479,0.941597139
19 Jan 80.00 (SSO1918M80),0,0,8.6,11.1,0,0,Put,83.9,9.85,80,4/21/17,SSO1918M80,1/18/19,637,1.745205479,0.953516091
19 Jan 81.00 (SSO1918M81),0,0,9,11.55,0,0,Put,83.9,10.275,81,4/21/17,SSO1918M81,1/18/19,637,1.745205479,0.965435042
19 Jan 82.00 (SSO1918M82),0,0,9.4,12,0,0,Put,83.9,10.7,82,4/21/17,SSO1918M82,1/18/19,637,1.745205479,0.977353993
19 Jan 83.00 (SSO1918M83),0,0,9.8,12.4,0,0,Put,83.9,11.1,83,4/21/17,SSO1918M83,1/18/19,637,1.745205479,0.989272944
19 Jan 84.00 (SSO1918M84),11.5,0,10.2,12.9,0,5,Put,83.9,11.55,84,4/21/17,SSO1918M84,1/18/19,637,1.745205479,1.001191895
19 Jan 85.00 (SSO1918M85),0,0,10.6,13.4,0,0,Put,83.9,12,85,4/21/17,SSO1918M85,1/18/19,637,1.745205479,1.013110846
19 Jan 90.00 (SSO1918M90),14.5,0,12.9,15.9,0,2,Put,83.9,14.4,90,4/21/17,SSO1918M90,1/18/19,637,1.745205479,1.072705602
19 Jan 95.00 (SSO1918M95),0,0,15.6,18.75,0,0,Put,83.9,17.175,95,4/21/17,SSO1918M95,1/18/19,637,1.745205479,1.132300358
19 Jan 100.00 (SSO1918M100),0,0,18.7,23,0,0,Put,83.9,20.85,100,4/21/17,SSO1918M100,1/18/19,637,1.745205479,1.191895113
19 Jan 105.00 (SSO1918M105),0,0,22.25,26.5,0,0,Put,83.9,24.375,105,4/21/17,SSO1918M105,1/18/19,637,1.745205479,1.251489869
19 Jan 110.00 (SSO1918M110),0,0,26.05,30.5,0,0,Put,83.9,28.275,110,4/21/17,SSO1918M110,1/18/19,637,1.745205479,1.311084625
19 Jan 115.00 (SSO1918M115),0,0,29.95,34.5,0,0,Put,83.9,32.225,115,4/21/17,SSO1918M115,1/18/19,637,1.745205479,1.37067938
19 Jan 120.00 (SSO1918M120),0,0,34,39,0,0,Put,83.9,36.5,120,4/21/17,SSO1918M120,1/18/19,637,1.745205479,1.430274136
19 Jan 125.00 (SSO1918M125),0,0,38.5,43.5,0,0,Put,83.9,41,125,4/21/17,SSO1918M125,1/18/19,637,1.745205479,1.489868892
19 Jan 130.00 (SSO1918M130),0,0,43.5,48.5,0,0,Put,83.9,46,130,4/21/17,SSO1918M130,1/18/19,637,1.745205479,1.549463647
