Last Sale,Heston_Call,Market_Vol,Calls,Vol,Bid,Open Int,Days,Date,Maturity Date,Ask,Heston_Vol,Strike,Diff,Net,Stock
0,37.92066741732692,nan,17 Apr 60.00 (UPRO1707D60),0,36.1,0,30,18/03/17,17/04/17,40.9,nan,60,0.082191781,0,97.88
0,32.9134955514145,nan,17 Apr 65.00 (UPRO1707D65),0,31.2,0,30,18/03/17,17/04/17,35.9,nan,65,0.082191781,0,97.88
0,27.908807378495098,nan,17 Apr 70.00 (UPRO1707D70),0,26,0,30,18/03/17,17/04/17,30.5,nan,70,0.082191781,0,97.88
0,22.915144064416452,nan,17 Apr 75.00 (UPRO1707D75),0,21.5,0,30,18/03/17,17/04/17,26,nan,75,0.082191781,0,97.88
0,17.97858669764436,2.6664841390010983,17 Apr 80.00 (UPRO1707D80),0,16,0,30,18/03/17,17/04/17,20.8,2.620127073399864,80,0.082191781,0,97.88
0,13.24308038427327,1.8878446168915173,17 Apr 85.00 (UPRO1707D85),0,11.4,0,30,18/03/17,17/04/17,16,1.8408364985635275,85,0.082191781,0,97.88
0,12.79026135291879,1.8159423919375606,17 Apr 85.50 (UPRO1707D85.5),0,11,0,30,18/03/17,17/04/17,15.5,1.7689200076654428,85.5,0.082191781,0,97.88
0,12.342494563079512,1.7395640106109402,17 Apr 86.00 (UPRO1707D86),0,10.5,0,30,18/03/17,17/04/17,15,1.698121675139984,86,0.082191781,0,97.88
0,11.900125433103028,1.6638344182608042,17 Apr 86.50 (UPRO1707D86.5),0,10,0,30,18/03/17,17/04/17,14.5,1.628451346942621,86.5,0.082191781,0,97.88
0,11.463502041411843,1.5887349970863764,17 Apr 87.00 (UPRO1707D87),0,9.5,0,30,18/03/17,17/04/17,14,1.5599193277520174,87,0.082191781,0,97.88
0,11.032973046300526,1.5142477790792281,17 Apr 87.50 (UPRO1707D87.5),0,9,0,30,18/03/17,17/04/17,13.5,1.492536126944102,87.5,0.082191781,0,97.88
0,10.608885526822618,1.4403554133455538,17 Apr 88.00 (UPRO1707D88),0,8.5,0,30,18/03/17,17/04/17,13,1.4263121892998019,88,0.082191781,0,97.88
0,10.191582769674,1.3719907709215986,17 Apr 88.50 (UPRO1707D88.5),0,8.1,0,30,18/03/17,17/04/17,12.5,1.3612576133909233,88.5,0.082191781,0,97.88
0,9.781402028177794,1.279510222359869,17 Apr 89.00 (UPRO1707D89),0,7.5,0,30,18/03/17,17/04/17,11.7,1.2973818580262946,89,0.082191781,0,97.88
0,9.378672280155996,1.2122784926434051,17 Apr 89.50 (UPRO1707D89.5),0,7,0,30,18/03/17,17/04/17,11.3,1.2346934356965413,89.5,0.082191781,0,97.88
8.75,8.983712011723355,1.165037527994448,17 Apr 90.00 (UPRO1707D90),10,8.3,10,30,18/03/17,17/04/17,9.5,1.1731995907423192,90,0.082191781,-0.45,97.88
0,8.59682705378441,1.0695358188574213,17 Apr 90.50 (UPRO1707D90.5),0,6.1,0,30,18/03/17,17/04/17,10.2,1.1129059585321606,90.5,0.082191781,0,97.88
7.09,8.218308497292213,0.9989226924561486,17 Apr 91.00 (UPRO1707D91),0,6.1,1,30,18/03/17,17/04/17,9.2,1.0538161999874944,91,0.082191781,0,97.88
0,7.848430712160933,0.9287963807869896,17 Apr 91.50 (UPRO1707D91.5),0,5.1,0,30,18/03/17,17/04/17,9.2,0.9959316030530122,91.5,0.082191781,0,97.88
0,7.487449493133354,0.9022253269776004,17 Apr 92.00 (UPRO1707D92),0,5,0,30,18/03/17,17/04/17,9.2,0.9392506388036047,92,0.082191781,0,97.88
0,7.135600353928197,0.7899501768637203,17 Apr 92.50 (UPRO1707D92.5),0,4,0,30,18/03/17,17/04/17,8.3,0.8837684542297701,92.5,0.082191781,0,97.88
0,6.793096988691147,0.7639030807706205,17 Apr 93.00 (UPRO1707D93),0,4,0,30,18/03/17,17/04/17,8.2,0.8294762754324292,93,0.082191781,0,97.88
0,6.460129917168395,0.6954005444017761,17 Apr 93.50 (UPRO1707D93.5),0,3.6,0,30,18/03/17,17/04/17,7.6,0.7763606824636975,93.5,0.082191781,0,97.88
0,6.136865327211986,0.6273175646693113,17 Apr 94.00 (UPRO1707D94),0,3,0,30,18/03/17,17/04/17,7.2,0.7244026978051026,94,0.082191781,0,97.88
0,5.823444125239966,0.6202565284023225,17 Apr 94.50 (UPRO1707D94.5),0,3,0,30,18/03/17,17/04/17,7.5,0.6735766251534636,94.5,0.082191781,0,97.88
4.66,5.519981202187267,0.5202105157578559,17 Apr 95.00 (UPRO1707D95),1,3.2,2,30,18/03/17,17/04/17,5.6,0.6238483273694512,95,0.082191781,0.74,97.88
0,5.2265649193592765,0.48079699970566,17 Apr 95.50 (UPRO1707D95.5),0,3,0,30,18/03/17,17/04/17,5.4,0.5751732260676178,95.5,0.082191781,0,97.88
4.78,4.943256815499446,0.4138840760665474,17 Apr 96.00 (UPRO1707D96),0,2.6,5,30,18/03/17,17/04/17,4.8,0.5274928392619668,96,0.082191781,0,97.88
0,4.6700915333584945,0.3790644250265573,17 Apr 96.50 (UPRO1707D96.5),0,3,0,30,18/03/17,17/04/17,4.1,0.4807299769558672,96.5,0.082191781,0,97.88
0,4.407076961168137,0.35072158383310015,17 Apr 97.00 (UPRO1707D97),0,2.05,0,30,18/03/17,17/04/17,4.9,0.4347809886325186,97,0.082191781,0,97.88
2.1,4.1541945817199135,0.27252392935116543,17 Apr 97.50 (UPRO1707D97.5),0,2.4,1,30,18/03/17,17/04/17,3.3,0.3895028523744586,97.5,0.082191781,0,97.88
2.5,3.9114000192729605,0.2140985222558419,17 Apr 98.00 (UPRO1707D98),1,2.1,1,30,18/03/17,17/04/17,2.8,0.3446901850636106,98,0.082191781,0.1,97.88
0,3.6786237723007957,0.239358035890225,17 Apr 98.50 (UPRO1707D98.5),0,1,0,30,18/03/17,17/04/17,5,0.30003064795374396,98.5,0.082191781,0,97.88
2.34,3.4557721181615264,0.17766028844562434,17 Apr 99.00 (UPRO1707D99),0,0.6,2,30,18/03/17,17/04/17,4.6,0.25500771458591914,99,0.082191781,0,97.88
4.2,3.242728174161428,0.15578031946345045,17 Apr 99.50 (UPRO1707D99.5),0,0.65,2,30,18/03/17,17/04/17,4.7,0.20864845207562438,99.5,0.082191781,0,97.88
1.65,3.039353098185117,0.09636445469300724,17 Apr 100.00 (UPRO1707D100),0,0.1,5,30,18/03/17,17/04/17,4.8,0.1586463847784083,100,0.082191781,0,97.88
0,2.845487411101246,nan,17 Apr 100.50 (UPRO1707D100.5),0,0.2,0,30,18/03/17,17/04/17,4.8,0.0951483604757416,100.5,0.082191781,0,97.88
2.61,2.660952422506874,nan,17 Apr 101.00 (UPRO1707D101),0,0.8,1,30,18/03/17,17/04/17,1.7,nan,101,0.082191781,0,97.88
0,2.4855517410436434,nan,17 Apr 101.50 (UPRO1707D101.5),0,0.65,0,30,18/03/17,17/04/17,1.3,nan,101.5,0.082191781,0,97.88
0,2.3190728504935407,nan,17 Apr 102.00 (UPRO1707D102),0,0.2,0,30,18/03/17,17/04/17,5,nan,102,0.082191781,0,97.88
0,2.1612887331104176,nan,17 Apr 102.50 (UPRO1707D102.5),0,0.2,0,30,18/03/17,17/04/17,4.6,nan,102.5,0.082191781,0,97.88
0,2.011959522153127,nan,17 Apr 103.00 (UPRO1707D103),0,0.1,0,30,18/03/17,17/04/17,4.7,nan,103,0.082191781,0,97.88
0,1.7376520897403473,nan,17 Apr 104.00 (UPRO1707D104),0,0.15,0,30,18/03/17,17/04/17,0.55,nan,104,0.082191781,0,97.88
0.31,1.4940376557248882,nan,17 Apr 105.00 (UPRO1707D105),0,0.1,13,30,18/03/17,17/04/17,4.8,nan,105,0.082191781,0,97.88
0,1.2789025080166958,nan,17 Apr 106.00 (UPRO1707D106),0,0.1,0,30,18/03/17,17/04/17,4.6,nan,106,0.082191781,0,97.88
0.95,1.1813074147674634,nan,17 Apr 106.50 (UPRO1707D106.5),0,0.1,2,30,18/03/17,17/04/17,4.8,nan,106.5,0.082191781,0,97.88
0,1.0899809527516737,nan,17 Apr 107.00 (UPRO1707D107),0,0,0,30,18/03/17,17/04/17,4.7,nan,107,0.082191781,0,97.88
0,1.0046391054494705,nan,17 Apr 107.50 (UPRO1707D107.5),0,0,0,30,18/03/17,17/04/17,4.7,nan,107.5,0.082191781,0,97.88
0,0.6579603509670537,nan,17 Apr 110.00 (UPRO1707D110),0,0,0,30,18/03/17,17/04/17,4.7,nan,110,0.082191781,0,97.88
0.18,0.26342503896945235,nan,17 Apr 115.00 (UPRO1707D115),0,0,5,30,18/03/17,17/04/17,4.6,nan,115,0.082191781,0,97.88
0,0.10040584695059618,nan,17 Apr 120.00 (UPRO1707D120),0,0,0,30,18/03/17,17/04/17,4.7,nan,120,0.082191781,0,97.88
0,0.0419770034587269,nan,17 Apr 125.00 (UPRO1707D125),0,0,0,30,18/03/17,17/04/17,4.6,nan,125,0.082191781,0,97.88
0,0.025164779009704985,nan,17 Apr 130.00 (UPRO1707D130),0,0,0,30,18/03/17,17/04/17,4.7,nan,130,0.082191781,0,97.88
0,21.424128166698083,3.328048745476514,17 Apr 76.50 (UPRO1713D76.5),0,20,0,30,18/03/17,17/04/17,24.5,3.2315797586862094,76.5,0.082191781,0,97.88
0,20.92852553204557,nan,17 Apr 77.00 (UPRO1713D77),0,19.5,0,30,18/03/17,17/04/17,24,nan,77,0.082191781,0,97.88
0,20.433809456456743,3.1446563901155464,17 Apr 77.50 (UPRO1713D77.5),0,19,0,30,18/03/17,17/04/17,23.5,3.051038745381416,77.5,0.082191781,0,97.88
0,19.940110346039205,3.054651263215469,17 Apr 78.00 (UPRO1713D78),0,18.5,0,30,18/03/17,17/04/17,23,2.9625631106883485,78,0.082191781,0,97.88
0,19.447572419273982,2.965721860078379,17 Apr 78.50 (UPRO1713D78.5),0,18,0,30,18/03/17,17/04/17,22.5,2.8752525657953734,78.5,0.082191781,0,97.88
0,18.956354293103644,2.877831686377418,17 Apr 79.00 (UPRO1713D79),0,17.5,0,30,18/03/17,17/04/17,22,2.7890872143574317,79,0.082191781,0,97.88
0,18.466629468426007,2.7909461551221924,17 Apr 79.50 (UPRO1713D79.5),0,17,0,30,18/03/17,17/04/17,21.5,2.704050115546607,79.5,0.082191781,0,97.88
0,17.49243021774332,2.620057760989307,17 Apr 80.50 (UPRO1713D80.5),0,16,0,30,18/03/17,17/04/17,20.5,2.5373065957090617,80.5,0.082191781,0,97.88
0,17.008379833714656,2.5359929744628302,17 Apr 81.00 (UPRO1713D81),0,15.5,0,30,18/03/17,17/04/17,20,2.4555798191246234,81,0.082191781,0,97.88
0,16.5266708388573,2.452808796696657,17 Apr 81.50 (UPRO1713D81.5),0,15.1,0,30,18/03/17,17/04/17,19.4,2.3749403723976465,81.5,0.082191781,0,97.88
0,16.047553760641875,2.3704775367449398,17 Apr 82.00 (UPRO1713D82),0,14.5,0,30,18/03/17,17/04/17,19,2.295384256167473,82,0.082191781,0,97.88
0,15.571293923300033,2.2889726655296383,17 Apr 82.50 (UPRO1713D82.5),0,14,0,30,18/03/17,17/04/17,18.5,2.2169097115813563,82.5,0.082191781,0,97.88
0,15.098170821097384,2.2082687491711748,17 Apr 83.00 (UPRO1713D83),0,13.5,0,30,18/03/17,17/04/17,18,2.139517075605334,83,0.082191781,0,97.88
0,14.628477299284341,2.128341386177977,17 Apr 83.50 (UPRO1713D83.5),0,13,0,30,18/03/17,17/04/17,17.5,2.063208623080233,83.5,0.082191781,0,97.88
0,14.162518542888321,2.049167148759735,17 Apr 84.00 (UPRO1713D84),0,12.5,0,30,18/03/17,17/04/17,17,1.987988395400984,84,0.082191781,0,97.88
0,13.700610876847207,1.9707235280408644,17 Apr 84.50 (UPRO1713D84.5),0,12,0,30,18/03/17,17/04/17,16.5,1.9138619907863594,84.5,0.082191781,0,97.88
0,1.8708341663230783,nan,17 Apr 103.50 (UPRO1713D103.5),0,0.15,0,30,18/03/17,17/04/17,4.8,nan,103.5,0.082191781,0,97.88
0,1.6121448322054945,nan,17 Apr 104.50 (UPRO1713D104.5),0,0.25,0,30,18/03/17,17/04/17,5,nan,104.5,0.082191781,0,97.88
0,1.3830511046270644,nan,17 Apr 105.50 (UPRO1713D105.5),0,0.1,0,30,18/03/17,17/04/17,4.8,nan,105.5,0.082191781,0,97.88
