Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,84.160004,85.129997,84.150002,85.089996,3027500,85.089996
2017-02-23,85.220001,85.230003,84.269997,84.940002,2321100,84.940002
2017-02-22,84.580002,84.970001,84.470001,84.790001,1545500,84.790001
2017-02-21,84.25,85.080002,84.25,84.900002,1982000,84.900002
2017-02-17,83.150002,83.93,83.120003,83.889999,2829400,83.889999
2017-02-16,83.860001,84.00,83.089996,83.720001,2926900,83.720001
2017-02-15,82.809998,83.989998,82.769997,83.82,1962300,83.82
2017-02-14,82.160004,83.00,81.900002,83.00,2640400,83.00
2017-02-13,81.839996,82.540001,81.830002,82.300003,1855700,82.300003
2017-02-10,81.110001,81.620003,81.019997,81.389999,1795700,81.389999
2017-02-09,80.07,81.050003,80.07,80.760002,2251600,80.760002
2017-02-08,79.43,79.959999,79.230003,79.910004,2153000,79.910004
2017-02-07,79.970001,80.160004,79.519997,79.699997,2308400,79.699997
2017-02-06,79.620003,79.940002,79.400002,79.669998,3877100,79.669998
2017-02-03,79.559998,80.099998,79.349998,79.949997,2510900,79.949997
2017-02-02,78.480003,79.099998,78.230003,78.839996,2548500,78.839996
2017-02-01,79.199997,79.449997,78.32,78.800003,4574600,78.800003
2017-01-31,78.330002,78.779999,77.889999,78.779999,4038700,78.779999
2017-01-30,79.18,79.209999,77.959999,78.82,6222700,78.82
2017-01-27,80.040001,80.160004,79.580002,79.779999,3191000,79.779999
2017-01-26,80.040001,80.25,79.779999,79.989998,2241500,79.989998
2017-01-25,79.559998,80.160004,79.43,80.080002,1999000,80.080002
2017-01-24,77.970001,79.129997,77.889999,78.739998,2650400,78.739998
2017-01-23,77.919998,78.239998,77.220001,77.82,2959600,77.82
2017-01-20,78.190002,78.620003,77.75,78.160004,5588400,78.160004
2017-01-19,78.300003,78.43,77.32,77.699997,1663700,77.699997
2017-01-18,78.110001,78.269997,77.660004,78.239998,3495000,78.239998
2017-01-17,77.940002,78.269997,77.589996,77.910004,2839100,77.910004
2017-01-13,78.239998,78.699997,78.209999,78.470001,2151400,78.470001
2017-01-12,78.089996,78.25,77.019997,78.139999,4715400,78.139999
2017-01-11,77.980003,78.50,77.480003,78.50,3201400,78.50
2017-01-10,78.089996,78.75,77.760002,78.07,2133100,78.07
2017-01-09,78.379997,78.510002,78.050003,78.080002,2450600,78.080002
2017-01-06,78.139999,78.959999,77.709999,78.599998,2739000,78.599998
2017-01-05,77.970001,78.18,77.43,78.029999,2381100,78.029999
2017-01-04,77.529999,78.290001,77.510002,78.169998,2386700,78.169998
2017-01-03,77.129997,77.660004,76.349998,77.260002,3056800,77.260002
2016-12-30,76.959999,76.989998,75.580002,76.139999,2479700,76.139999
2016-12-29,76.790001,77.050003,76.339996,76.699997,1535700,76.699997
2016-12-28,78.199997,78.199997,76.650002,76.779999,3145200,76.779999
2016-12-27,77.849998,78.330002,77.82,78.019997,2875400,78.019997
2016-12-23,77.449997,77.650002,77.309998,77.650002,1030800,77.650002
2016-12-22,77.580002,77.669998,77.120003,77.459999,2867500,77.459999
2016-12-21,78.050003,78.169998,77.709999,77.739998,2343500,77.739998
2016-12-20,78.110001,78.360001,77.889999,78.18,2308800,78.086001
2016-12-19,77.470001,77.980003,77.330002,77.589996,2187300,77.496706
2016-12-16,77.980003,78.019997,77.059998,77.339996,2420700,77.247007
2016-12-15,77.169998,78.290001,77.07,77.57,3052700,77.476734
2016-12-14,78.029999,78.599998,76.639999,77.010002,7923100,76.91741
2016-12-13,77.730003,78.669998,77.730003,78.279999,3232700,78.185879
2016-12-12,77.349998,77.739998,76.93,77.239998,2427000,77.147129
2016-12-09,76.68,77.440002,76.669998,77.410004,2325800,77.31693
2016-12-08,76.129997,76.900002,75.919998,76.540001,3775800,76.447973
2016-12-07,74.059998,76.199997,73.989998,76.099998,4096400,76.0085
2016-12-06,73.900002,74.230003,73.519997,74.209999,2636700,74.120773
2016-12-05,73.50,74.010002,73.370003,73.730003,2284900,73.641354
2016-12-02,72.860001,73.239998,72.589996,72.870003,2126300,72.782388
2016-12-01,73.57,73.57,72.529999,72.75,4945100,72.662529
2016-11-30,74.199997,74.32,73.300003,73.300003,3140100,73.211871
2016-11-29,73.459999,74.059998,73.209999,73.730003,2295100,73.641354
2016-11-28,73.879997,74.110001,73.349998,73.489998,3326900,73.401638
2016-11-25,73.870003,74.139999,73.790001,74.129997,844900,74.040867
2016-11-23,73.110001,73.629997,72.949997,73.589996,2590800,73.501516
2016-11-22,73.50,73.650002,72.940002,73.510002,1906900,73.421618
2016-11-21,72.580002,73.239998,72.470001,73.190002,2236200,73.102003
2016-11-18,72.540001,72.650002,72.00,72.169998,1609500,72.083225
2016-11-17,71.849998,72.510002,71.790001,72.489998,2689700,72.40284
2016-11-16,71.540001,71.910004,71.449997,71.75,1500300,71.663732
2016-11-15,71.209999,72.00,71.059998,72.00,2401900,71.913431
2016-11-14,71.209999,71.349998,70.339996,70.919998,3618700,70.834728
2016-11-11,70.580002,70.980003,70.089996,70.800003,4896600,70.714877
2016-11-10,71.400002,72.050003,70.019997,71.120003,7941300,71.034492
2016-11-09,69.260002,71.239998,68.010002,70.809998,8319400,70.72486
2016-11-08,68.400002,69.739998,68.199997,69.260002,3623700,69.176728
2016-11-07,67.620003,68.730003,67.540001,68.639999,4273100,68.55747
2016-11-04,66.019997,66.660004,65.720001,65.779999,2823400,65.700909
2016-11-03,66.709999,66.879997,65.760002,65.959999,2614000,65.880692
2016-11-02,67.150002,67.440002,66.260002,66.57,3790700,66.48996
2016-11-01,68.629997,68.650002,66.489998,67.419998,5400600,67.338936
2016-10-31,68.639999,68.790001,68.260002,68.360001,2299200,68.277808
2016-10-28,68.779999,69.279999,67.860001,68.379997,5126700,68.297781
2016-10-27,69.720001,69.720001,68.739998,68.809998,3033100,68.727264
2016-10-26,68.82,69.610001,68.650002,69.150002,2083300,69.066859
2016-10-25,69.790001,69.970001,69.330002,69.449997,2218300,69.366494
2016-10-24,69.970001,70.190002,69.650002,69.870003,1278900,69.785995
2016-10-21,68.690002,69.400002,68.550003,69.300003,1858400,69.216681
2016-10-20,69.260002,69.699997,68.779999,69.279999,2763000,69.1967
2016-10-19,69.349998,69.769997,69.099998,69.480003,1713100,69.396464
2016-10-18,69.470001,69.550003,68.889999,69.139999,2143400,69.056869
2016-10-17,68.769997,68.970001,68.190002,68.370003,2285300,68.287798
2016-10-14,69.480003,69.830002,68.769997,68.82,3411400,68.737254
2016-10-13,68.209999,69.120003,67.580002,68.75,4203700,68.667339
2016-10-12,69.129997,69.589996,68.75,69.230003,2358600,69.146765
2016-10-11,70.470001,70.529999,68.470001,69.080002,5937000,68.996944
2016-10-10,70.800003,71.160004,70.699997,70.800003,1354600,70.714877
2016-10-07,70.769997,70.900002,69.529999,70.099998,5391500,70.015714
2016-10-06,70.269997,70.739998,69.900002,70.620003,2185000,70.535093
2016-10-05,70.349998,70.800003,70.300003,70.50,1358300,70.415235
2016-10-04,70.690002,70.849998,69.419998,69.940002,3527000,69.85591
2016-10-03,70.610001,70.75,70.120003,70.559998,2001900,70.47516
2016-09-30,70.489998,71.470001,70.349998,70.970001,2569900,70.884671
2016-09-29,71.029999,71.32,69.489998,69.919998,4477300,69.83593
2016-09-28,70.669998,71.300003,69.93,71.190002,1963500,71.104408
2016-09-27,69.519997,70.559998,69.230003,70.489998,2297200,70.405245
2016-09-26,70.169998,70.290001,69.489998,69.639999,2297500,69.556268
2016-09-23,71.260002,71.349998,70.720001,70.769997,2573000,70.684907
2016-09-22,71.440002,71.790001,71.269997,71.57,2880200,71.483948
2016-09-21,69.639999,70.82,69.139999,70.639999,3495100,70.555066
2016-09-20,69.82,69.940002,69.169998,69.209999,2793400,69.065859
2016-09-19,69.669998,70.139999,68.949997,69.190002,3021300,69.045904
2016-09-16,69.190002,69.379997,68.650002,69.169998,3114500,69.025942
2016-09-15,68.220001,69.989998,68.099998,69.739998,4098500,69.594754
2016-09-14,68.459999,69.339996,67.93,68.309998,4384200,68.167732
2016-09-13,69.449997,69.650002,67.949997,68.419998,9594400,68.277504
