Date,Open,High,Low,Close,Volume,Adj Close,Daily Return
24/02/17,94.919998,96.550003,94.889999,96.510002,1298800,96.510002,
23/02/17,96.730003,96.730003,95.089996,96.190002,1637600,96.190002,0.332674907
22/02/17,95.669998,96.279999,95.43,95.949997,1684600,95.949997,0.250135495
21/02/17,95.080002,96.449997,95.059998,96.120003,1733900,96.120003,-0.176868492
17/02/17,93.169998,94.510002,93.169998,94.489998,1227800,94.489998,1.725055598
16/02/17,94.389999,94.629997,93.089996,94.120003,1792700,94.120003,0.393109847
15/02/17,92.589996,94.610001,92.550003,94.300003,1693100,94.300003,-0.190880164
14/02/17,91.580002,92.940002,91.110001,92.910004,1591800,92.910004,1.496070326
13/02/17,91.019997,92.18,91,91.730003,1341100,91.730003,1.286385001
10/02/17,89.809998,90.660004,89.660004,90.349998,1318300,90.349998,1.527399038
09/02/17,88.129997,89.709999,88.07,89.300003,1757400,89.300003,1.175806231
08/02/17,87.050003,87.919998,86.690002,87.800003,1290000,87.800003,1.708428188
07/02/17,87.970001,88.230003,87.160004,87.449997,1820900,87.449997,0.400235577
06/02/17,87.370003,87.860001,86.980003,87.510002,1322200,87.510002,-0.068569305
03/02/17,87.300003,88.120003,86.919998,87.879997,2609400,87.879997,-0.421023
02/02/17,85.529999,86.5,85.080002,86.150002,1448300,86.150002,2.008119512
01/02/17,86.699997,87.07,85.220001,86.029999,1886300,86.029999,0.139489715
31/01/17,85.239998,85.980003,84.519997,85.980003,1805600,85.980003,0.058148405
30/01/17,86.610001,86.660004,84.610001,86.029999,2308200,86.029999,-0.058114612
27/01/17,88.089996,88.260002,87.32,87.610001,1390100,87.610001,-1.803449357
26/01/17,88.059998,88.43,87.620003,87.919998,1731800,87.919998,-0.352589862
25/01/17,87.279999,88.260002,87.029999,88.120003,2407500,88.120003,-0.226968898
24/01/17,84.690002,86.580002,84.550003,86.029999,1706500,86.029999,2.429389776
23/01/17,84.629997,85.139999,83.440002,84.419998,2004700,84.419998,1.907132241
20/01/17,85.07,85.730003,84.339996,85.080002,2348000,85.080002,-0.775745163
19/01/17,85.199997,85.419998,83.620003,84.209999,1989200,84.209999,1.033135032
18/01/17,84.900002,85.160004,84.199997,85.099998,1332300,85.099998,-1.045827287
17/01/17,84.610001,85.18,84.089996,84.660004,1852200,84.660004,0.519718851
13/01/17,85.150002,85.879997,85.080002,85.449997,1320200,85.449997,-0.924509102
12/01/17,84.879997,85.160004,83.139999,84.919998,2943900,84.919998,0.624115653
11/01/17,84.690002,85.510002,83.870003,85.480003,3228000,85.480003,-0.655129832
10/01/17,84.919998,85.970001,84.360001,84.790001,1562800,84.790001,0.813777559
09/01/17,85.370003,85.57,84.830002,84.93,1891900,84.93,-0.164840457
06/01/17,84.989998,86.339996,84.269997,85.739998,1944600,85.739998,-0.944714274
05/01/17,84.690002,85.040001,83.809998,84.779999,2134300,84.779999,1.132341367
04/01/17,83.949997,85.220001,83.949997,85.040001,2083000,85.040001,-0.305740824
03/01/17,83.379997,84.209999,82.099998,83.550003,2368400,83.550003,1.783360798
30/12/16,83.050003,83.150002,80.860001,81.779999,2960000,81.779999,2.164348278
